model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,n_neighbors,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2
knn,0,200,8192,0,1.0,True,61,-2,0.25,0.6241086737554707,0.286865234375,0.6304263803306567,200.0,60.99999999999999,27.59452300729259,194,14.560219778561036,14,194,113.21385161968784,4.647623048397966,61.000000000000014,4.31335136523794
knn,0,200,8192,0,1.0,True,63,-2,0.24,0.6271924909953058,0.2877197265625,0.6336690419450131,200.0,63.0,29.085805816583456,197,14.352700094407323,13,197,121.28595550415355,4.80899157828333,63.0,4.4547727214752495
knn,0,200,8192,0,1.0,True,65,-2,0.245,0.628889892621451,0.2918701171875,0.6370574221353336,200.0,65.00000000000001,30.612964573853354,191,14.832396974191326,14,191,129.540712727148,4.97145853849753,65.00000000000001,4.596194077712559
knn,0,200,8192,0,1.0,True,67,-2,0.24,0.6331244149758356,0.2904052734375,0.6407124556792636,200.0,67.00000000000001,32.16771673588288,191,14.7648230602334,14,191,137.8787348355403,5.134199061197374,67.0,4.737615433949869
knn,0,200,8192,0,1.0,True,69,-2,0.24,0.6381382502099465,0.2933349609375,0.6446009475900252,200.0,69.0,33.750131851594304,195,14.491376746189438,14,195,146.2204410856965,5.296140103886981,68.99999999999997,4.879036790187177
knn,0,200,8192,0,1.0,True,71,-2,0.24,0.641076950774339,0.2939453125,0.648202288720434,200.0,70.99999999999999,35.376569929827845,194,14.560219778561036,14,194,155.02233684536836,5.458049102014382,71.0,5.020458146424488
knn,0,200,8192,0,1.0,True,73,-2,0.25,0.6433703069371299,0.2958984375,0.6516843358878,200.0,73.00000000000003,37.052570761014685,192,14.696938456699069,14,192,164.12183328072288,5.61892338442161,73.00000000000001,5.161879502661796
knn,0,200,8192,0,1.0,True,75,-2,0.27,0.6485583397043014,0.2979736328125,0.6549231293757396,200.0,75.0,38.737326314550934,192,14.696938456699069,14,192,173.17363258893812,5.778767169561341,75.0,5.303300858899107
knn,0,200,8192,0,1.0,True,77,-2,0.25,0.65375236042429,0.300537109375,0.6580295457456564,200.0,77.0,40.39416418246576,195,14.491376746189438,14,195,182.1953880122794,5.931458505291932,76.99999999999999,5.444722215136417
knn,0,200,8192,0,1.0,True,79,-2,0.25,0.6552821196286981,0.30322265625,0.6608541168687986,200.0,78.99999999999999,42.162886523576624,192,14.696938456699069,13,192,191.8874403096187,6.091961917149516,79.0,5.586143571373727
