model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,max_features,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_mat_norm
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,10,-2,0.12760000000000005,0.01852807324839385,0.246,0.039662040390249426,620.0,10000.0,1436.4365631659477,620,1436.4365631659477,9,0,4.99507524033603,0.1436436563165948,16.12903225806452,0.16129032258064518,206.33500000000132,4.215265131640256,620,620.0,620.0,24.899799195977465,0.28480867506103874
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,15,-2,0.009800000000000031,0.0015451089508742469,0.24150000000000005,0.04785684344762313,1477.0,10000.0,1206.5753188259737,1477,1206.5753188259737,10,0,5.591898061404941,0.12065753188259737,6.770480704129995,0.06770480704129993,145.58240000000183,3.6184423105711065,1477,1477.0,1477.0,38.43175770115128,0.31359469640307697
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,25,-2,9.999999999998899e-05,1.7142857142857145e-05,0.23909999999999998,0.04782081632653061,1638.0,10000.0,1139.2971517562924,1638,1139.2971517562924,6,0,5.83294176110128,0.11392971517562922,6.105006105006103,0.061050061050061055,129.7998000000027,3.3773986108748053,1638,1638.0,1638.0,40.47221268969613,0.31602147492082866
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,None,-2,0.0,0.0,0.2319,0.046380000000000005,1572.0,10000.0,1184.9160307802406,1572,1184.9160307802406,6,0,5.747334379998293,0.11849160307802405,6.361323155216287,0.06361323155216285,140.4026000000067,3.4630059919779277,1572,1572.0,1572.0,39.64845520319802,0.3160479229737198
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,2,False,sqrt,None,-2,0.0,0.0,0.24319999999999997,0.03101,3240.0,10000.000000000004,876.7262970847856,4747,603.3208101831065,6,0,6.35236352746801,0.15318629181490098,6.17283950617284,0.0617283950617284,58.66510000000021,4.316672082434039,3240,3240.0,1619.9999999999995,32.718980493566015,0.2234796295146409
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,3,False,sqrt,None,-2,0.0,0.0,0.17010000000000003,0.025228888888888912,4977.0,10000.000000000005,805.7875374784318,6822,448.7404595086117,3,0,6.713016869174626,0.186454659367901,6.027727546714889,0.06027727546714888,38.62815555555546,4.66938332801359,4977,4977.0,1659.0000000000036,30.278767039356655,0.18247035340569923
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,False,sqrt,None,-2,0.0,0.0,0.13549999999999995,0.02191,6415.0,10000.000000000005,759.0513816600298,7661,308.6648668054076,3,0,6.841587809791768,0.21688559196036974,6.2353858144972705,0.06235385814497272,29.399600000000007,4.997300251454942,6415,6415.0,1603.750000000003,28.26748824209024,0.15802396148685988
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,5,False,sqrt,None,-2,0.0,0.0,0.11499999999999999,0.01986159999999989,8077.0,10000.000000000007,756.9527330025304,8279,251.72206895701459,3,0,6.940176680873247,0.24753116975443717,6.190417234121579,0.06190417234121578,24.50867200000022,5.1838723549633,8077,8077.0,1615.4000000000024,27.433546250901443,0.141340927983371
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,10,False,sqrt,None,-2,0.0,0.0,0.07889999999999997,0.01678679999999985,10000.0,10000.000000000018,741.1366540659019,9288,200.70376179832803,3,0,7.301838083947663,0.35494216430286213,6.167509559639814,0.06167509559639817,12.598393999999972,5.610426477846457,16214,10000.0,1621.4000000000046,25.39619903926286,0.09994312863624108
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,15,False,sqrt,None,-2,0.0,0.0,0.06530000000000002,0.0156103111111108,10000.0,10000.000000000016,701.0088349419475,9735,109.90905331227269,3,0,7.478600963415511,0.43376030247130726,6.178942165101335,0.06178942165101334,8.362133333333325,5.817961461709632,24276,10000.0,1618.4000000000083,24.62471753521061,0.08160322281871074
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,None,-2,0.0,0.0,0.058599999999999985,0.015207999999999722,10000.0,10000.000000000018,700.121764409592,9789,106.51760417883985,3,0,7.580050524591364,0.49760592842127593,6.196170766466324,0.06196170766466323,6.1902914999999865,5.913850413750459,32278,10000.0,1613.9000000000026,24.16551405609825,0.0706704639916855
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,2,-2,0.6999,0.08145300131737251,0.6935,0.08132954301516646,4.0,10000.0,5434.50586530183,4,5434.50586530183,4,4,1.291152834186943,0.5434505865301831,2500.0,25.0,2953.3854000004885,7.9191875377892025,4,4.0,4.0,1.9999999999999998,0.1327143107957927
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,4,-2,0.46699999999999997,0.06248026048501012,0.4676,0.06259734942035022,16.0,10000.0,2887.798123138112,16,2887.798123138112,16,16,2.6128064815140384,0.28877981231381117,625.0,6.25,833.9377999999241,6.597533890462319,16,16.0,15.999999999999998,3.9999999999999996,0.18900460520796405
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,5,-2,0.4376,0.05722284431621929,0.4638,0.059884310790993475,32.0,10000.0,2685.4020183205344,32,2685.4020183205344,32,32,2.949423800557532,0.26854020183205346,312.5,3.125,721.1384000000171,6.260916571418294,32,32.0,32.0,5.656854249492381,0.20326710493697023
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,6,-2,0.39080000000000004,0.05284983073920424,0.41569999999999996,0.05710345194130597,61.0,10000.0,2609.5861740896776,61,2609.5861740896776,40,61,3.1372082997840374,0.26095861740896775,163.93442622950818,1.6393442622950818,680.9939999999874,6.07313207219199,61,61.0,61.00000000000002,7.810249675906656,0.2142130062163785
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,8,-2,0.21919999999999995,0.031428582703018064,0.28790000000000004,0.04217019960562063,244.0,10000.0,1558.587822357149,244,1558.587822357149,11,0,4.455707956537105,0.1558587822357149,40.983606557377044,0.40983606557377045,242.91959999999776,4.754632415438986,244,244.0,244.0,15.62049935181331,0.26051886892125076
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,10,-2,0.133,0.019361253331814376,0.2519,0.041568263630384884,625.0,10000.0,1294.7748839083959,625,1294.7748839083959,10,0,5.080512084010041,0.12947748839083958,16.000000000000007,0.16,167.6442000000051,4.1298282879660855,625,625.0,625.0,25.0,0.28324962069534215
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,15,-2,0.012199999999999989,0.0018536352382479658,0.23770000000000002,0.04669811263529152,1448.0,10000.0,1326.949132408624,1448,1326.949132408624,10,0,5.564705564082561,0.1326949132408624,6.906077348066298,0.06906077348066299,176.0794000000048,3.645634807893588,1448,1448.0,1448.0,38.0525951808809,0.31311020093933906
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,25,-2,0.0,0.0,0.23950000000000005,0.0479,1621.0,10000.0,1136.7119248076885,1621,1136.7119248076885,11,0,5.743891797855393,0.11367119248076885,6.169031462060456,0.06169031462060457,129.21140000000315,3.4664485741207303,1621,1621.0,1621.0,40.26164427839479,0.3160479229737198
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,None,-2,0.0,0.0,0.2378,0.04756,1594.0,10000.0,1138.5921130940615,1594,1138.5921130940615,6,0,5.766767073499902,0.11385921130940613,6.273525721455457,0.06273525721455457,129.6392000000041,3.4435732984763185,1594,1594.0,1594.0,39.92492955535426,0.3160479229737198
