model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_polytope_norm
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,11,-2,0.036800000000000055,0.005485194326717621,0.18810000000000004,0.03515665980139997,648.0,10000.0,1860.793379179967,648,1860.793379179967,12,0,4.454242873572253,0.1860793379179967,15.432098765432098,0.15432098765432095,346.2551999999975,4.756097498403917,648,648.0,648.0,25.455844122715714,0.9687146090633781
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,12,-2,0.02210000000000001,0.00343748878369289,0.18920000000000003,0.0365371393261104,754.0,10000.0,1852.3563372094475,754,1852.3563372094475,12,0,4.506184232248762,0.18523563372094473,13.26259946949602,0.1326259946949602,343.12240000000344,4.704156139727136,754,754.0,754.0,27.459060435491963,0.981033206436082
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,13,-2,0.01319999999999999,0.0022182513924537224,0.1916,0.03750693380742341,826.0,10000.0,1845.7795101257354,826,1845.7795101257354,12,0,4.536899984811999,0.18457795101257354,12.106537530266344,0.12106537530266342,340.69019999998454,4.673440387164204,826,826.0,826.0,28.74021572639983,0.9881739856094538
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,14,-2,0.00880000000000003,0.0015139304123104277,0.1935,0.038338952421320946,865.0,10000.0,1834.8580326553877,865,1834.8580326553877,12,0,4.566021323149555,0.1834858032655388,11.560693641618496,0.115606936416185,336.6704000000108,4.6443190488267,865,865.0,865.0,29.410882339705488,0.9920080850925511
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,15,-2,0.006000000000000005,0.001057266587896497,0.19540000000000002,0.038832798838870065,893.0,10000.0,1826.9871373384105,893,1826.9871373384105,12,0,4.587651038209597,0.18269871373384106,11.198208286674133,0.11198208286674133,333.7881999999989,4.622689333766451,893,893.0,893.0,29.883105594967873,0.9945133577162667
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,16,-2,0.0042999999999999705,0.0007838612647157678,0.1905,0.037994227338950845,914.0,10000.0,1816.4685518885265,914,1816.4685518885265,12,0,4.609932679058334,0.18164685518885265,10.940919037199128,0.10940919037199123,329.9557999999986,4.600407692917718,914,914.0,914.0,30.23243291566195,0.9959177606280875
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,17,-2,0.0033999999999999586,0.0006254491740850484,0.19479999999999997,0.038895858397558575,926.0,10000.0,1809.598297965601,926,1809.598297965601,12,0,4.623372931783336,0.18095982979656008,10.79913606911447,0.1079913606911447,327.4646000000018,4.586967440192825,926,926.0,926.0,30.43024810940588,0.9967603982626595
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,18,-2,0.0027000000000000357,0.00048034356654186674,0.19469999999999998,0.038894297421796065,933.0,10000.0,1804.0315961756323,933,1804.0315961756323,12,0,4.633611247494382,0.18040315961756323,10.718113612004291,0.10718113612004287,325.45299999999446,4.576729124481884,933,933.0,933.0,30.545048698602532,0.9974951147317755
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,19,-2,0.0019000000000000128,0.00033448146610704475,0.19589999999999996,0.03910137487149295,942.0,10000.0,1797.942713214189,942,1797.942713214189,12,0,4.643948714483038,0.17979427132141892,10.615711252653927,0.10615711252653928,323.25980000000555,4.566391657493107,942,942.0,942.0,30.692018506445613,0.9982746083441476
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,20,-2,0.0013999999999999568,0.00026286161644730903,0.19410000000000005,0.03881154201861111,949.0,10000.0,1786.2049154562305,949,1786.2049154562305,11,0,4.661631311297423,0.17862049154562307,10.537407797681768,0.10537407797681769,319.05280000000005,4.548709060678721,949,949.0,949.0,30.80584360149873,0.9986320570666755
