model,rep,n_train_samples,n_test_samples,save_path,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,n_parameters,depth,width
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,1024,6000,0.01,32,0,0,True,True,0.0,2.548635284710817e-05,0.0544,0.1796230507556666,1437.8691406250002,718.2627842964034,4000,63.24555320336759,1024,0,15789443.557387283,13.493807223130172,1437.869140625,22.79559891536693,814090,1,1024
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,4,6000,0.01,32,0,0,True,True,0.78525,0.080472502972192,0.7907,0.137025527060927,398.75,398.75,2,2885.8361006820883,1,2,11762.533279274216,0.39875,398.75,9.98436277385793,3190,1,4
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,8,6000,0.01,32,0,0,True,True,0.58775,0.0613174512604314,0.6129,0.2229178962151667,314.0,226.22292655696944,8,2352.9819378822267,3,8,17562.19560354971,0.4127385673764931,314.0,7.584935728139032,6370,1,8
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,16,6000,0.01,32,0,0,True,True,0.21275,0.024911442143457,0.3157999999999999,0.5012336492544404,269.875,117.69415475077766,60,1303.5643444034513,7,60,28343.801251729423,0.4249970588133522,269.875,5.300353761778547,12730,1,16
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,32,6000,0.01,32,0,0,True,True,0.01975,0.0052936194328724,0.1643,0.6071922616206373,181.46875000000003,57.72015428719418,303,842.2541184227002,23,303,36187.62411353626,0.4426713651231577,181.46875,3.2214794252796337,25450,1,32
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,38,6000,0.01,32,0,0,True,True,0.0182499999999999,0.0044072852382403,0.1726999999999999,0.6642138973602247,152.31578947368425,46.691523191583066,343,841.7505568753727,28,343,35473.155778704386,0.4275052631254965,152.3157894736842,2.716778685611472,30220,1,38
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,40,6000,0.01,32,0,0,True,True,0.0182499999999999,0.0039435826013796,0.1805,0.7005723695377926,143.175,42.98439397037022,360,850.8572148133904,28,360,34767.89451116152,0.4159297566897564,143.17500000000004,2.5533066795823807,31810,1,40
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,42,6000,0.01,32,0,0,True,True,0.0174999999999999,0.0035465549690192,0.1875,0.7141822778100726,133.26190476190482,39.54287405954313,352,870.6354001532444,30,352,33692.412400758825,0.4034847425863833,133.2619047619048,2.3672223166822834,33400,1,42
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,44,6000,0.01,32,0,0,True,True,0.0154999999999999,0.0031704008715183,0.2048999999999999,0.7344424242839375,126.11363636363636,37.01512283083521,353,874.0640708781021,31,353,33200.81713481131,0.3965792007909643,126.11363636363636,2.2354904060120457,34990,1,44
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,46,6000,0.01,32,0,0,True,True,0.0154999999999999,0.0030037879880408,0.2155,0.7496732219788559,120.10869565217396,34.92550132384813,347,873.790592762362,32,347,32881.80587227133,0.3915798928698971,120.10869565217388,2.126104738967157,36580,1,46
