model,rep,n_train_samples,n_test_samples,save_path,onehot,out_features,alpha,max_iter,solver,batch_size,learning_rate_init,momentum,tol,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,300,0,500,sgd,32,0.01,0.95,0,0.015000000000000013,0.021017501853204647,0.18279999999999996,1.2472473690021502,300.0,504.7,322.7979112213846,1000,31.622776601683793,300,0,1919.4978994778467,9.8138892392364,504.70000000000005,15.977049512069215
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,500,0,500,sgd,32,0.01,0.95,0,0.0010000000000000009,0.012913399906548323,0.18120000000000003,2.367619557169644,500.0,490.33200000000005,308.25123125139334,1000,31.622776601683793,68,0,1773.6964124141844,12.387731592184261,490.332,15.517967392670988
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,700,0,500,sgd,32,0.01,0.95,0,0.0,0.006703010109064324,0.18610000000000004,2.715798892324406,700.0,513.1257142857143,328.7301283014096,1000,31.622776601683793,55,0,1890.9730099541375,15.141358261397821,513.1257142857144,16.23436239736503
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,900,0,500,sgd,32,0.01,0.95,0,0.0,0.0036576030377710525,0.19669999999999999,3.8382712795031493,900.0,488.7544444444444,311.8404604466921,1000,31.622776601683793,51,0,1750.3726282822395,16.722385984063397,488.75444444444446,15.461045554218824
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,1000,0,500,sgd,32,0.01,0.95,0,0.0,0.0024935242779516517,0.19430000000000003,3.482358349076695,1000.0,501.29000000000013,320.6910676024514,1000,31.622776601683793,50,0,1810.0001984894075,17.873380653922187,501.29,15.859196637913284
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,1100,0,500,sgd,32,0.01,0.95,0,0.0,0.0017969891971279857,0.19169999999999998,4.124841706740649,1000.0,503.131818181818,324.4021324090984,1000,31.622776601683793,50,0,1825.3354978183988,18.855742281862042,503.1318181818182,15.916262617287996
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,1200,0,500,sgd,32,0.01,0.95,0,0.0,0.001166836723723762,0.19240000000000002,3.4752807064118727,1000.0,507.8066666666667,326.2982348038541,1000,31.622776601683793,49,0,1840.824787274759,19.754438235495336,507.8066666666667,16.062531582329523
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,1500,0,500,sgd,32,0.01,0.95,0,0.0,0.00036551402531306983,0.17420000000000002,2.8710857700039676,1000.0,497.42600000000004,315.74730315167477,1000,31.622776601683793,48,0,1759.7074066353139,21.723644008314995,497.42600000000004,15.734115220684567
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,2000,0,500,sgd,32,0.01,0.95,0,0.0,6.692781186477481e-05,0.15849999999999997,2.3587436391582655,1000.0,499.2125,316.0404095289872,1000,31.622776601683793,47,0,1752.9985042280377,25.099821214502704,499.2125,15.789244828363387
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,4000,0,500,sgd,32,0.01,0.95,0,0.0,8.146053302381115e-05,0.1269,1.2447939505714056,1000.0,496.91949999999997,314.91966335737914,1000,31.622776601683793,43,0,1730.9684890653662,35.43587188147062,496.91949999999997,15.715607162944739
