model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_mat_norm
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,18,-2,0.0027000000000000357,0.00048034356654186593,0.19169999999999998,0.038316800412383695,931.0,10000.0,1804.0659633173061,931,1804.0659633173061,12,0,4.632791258614561,0.18040659633173062,10.741138560687432,0.10741138560687435,325.46539999999504,4.577549113361675,931,931.0,931.0,30.512292604784715,0.3152869147912837
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,19,-2,0.0019000000000000128,0.0003344814661070474,0.19220000000000004,0.03835676157966288,940.0,10000.0,1797.9771967408262,940,1797.9771967408262,12,0,4.643128725603218,0.17979771967408262,10.638297872340425,0.10638297872340426,323.27220000000636,4.5672116463729155,940,940.0,940.0,30.659419433511783,0.3155164495202251
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,20,-2,0.0014999999999999458,0.0002728616164473092,0.19330000000000003,0.03864811564350558,948.0,10000.0,1786.2267493238367,948,1786.2267493238367,11,0,4.661328279341625,0.17862267493238365,10.548523206751051,0.10548523206751054,319.06060000000036,4.549012092634484,948,948.0,948.0,30.789608636681308,0.31561433772618624
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,21,-2,0.0010999999999999899,0.0001864510051439905,0.1955,0.03908572690621066,954.0,10000.0,1775.5280904564704,954,1775.5280904564704,11,0,4.677101482960904,0.17755280904564702,10.482180293501052,0.10482180293501049,315.2499999999985,4.533238889015164,954,954.0,954.0,30.886890422961002,0.31575168533252407
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,22,-2,0.00039999999999995595,7.421102175817794e-05,0.19289999999999996,0.038576362433741,960.0,10000.0,1770.0197739008454,960,1770.0197739008454,11,0,4.690048310659894,0.17700197739008455,10.416666666666666,0.10416666666666667,313.2970000000037,4.520292061316207,960,960.0,960.0,30.983866769659336,0.31593108864821795
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,23,-2,0.00019999999999997797,3.6071428571428563e-05,0.19440000000000002,0.03888158801020408,965.0,10000.0,1763.267988707332,965,1763.267988707332,11,0,4.6977314831313945,0.1763267988707332,10.362694300518132,0.10362694300518134,310.91140000000325,4.512608888844696,965,965.0,965.0,31.064449134018137,0.31599129904543316
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,24,-2,0.0,0.0,0.19379999999999997,0.03876,967.0,10000.0,1763.0070901729239,967,1763.0070901729239,11,0,4.698957625413324,0.1763007090172924,10.341261633919336,0.10341261633919338,310.8194000000043,4.511382746562726,967,967.0,967.0,31.096623610932426,0.3160479229737198
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,None,-2,0.0,0.0,0.19379999999999997,0.03876,967.0,10000.0,1763.028644123515,967,1763.028644123515,11,0,4.698793222893637,0.1763028644123515,10.341261633919336,0.10341261633919338,310.82700000000466,4.511547149082414,967,967.0,967.0,31.096623610932426,0.3160479229737198
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,2,False,None,-2,0.0,0.0,0.19840000000000002,0.03447000000000001,1933.0,10000.000000000005,1762.2715454775973,982,1761.407391831884,11,0,4.702720635585713,0.2493449819025841,10.346611484738748,0.10346611484738748,155.43230000000318,4.518394275429845,1933,1932.0,966.4999999999998,30.989844195590166,0.22347962951464093
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,3,False,None,-2,0.0,0.0,0.18879999999999997,0.03237111111111111,2901.0,10000.000000000005,1761.8058286252149,991,1760.0517037859995,11,0,4.704310164856318,0.3053774385903451,10.341261633919336,0.10341261633919338,103.61708888888482,4.520504695658952,2901,2901.0,967.0000000000005,30.971759792205912,0.18247035340569923
