model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_parameters,depth,width,total_epochs,weights_L2,mean_affine_mat_norm,kernel_trace,head_norm,OLS_norm
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,12,40,0.01,32,0,None,True,True,0.495,0.05308644423523882,0.5243,0.4178290802741317,9.0,234.08333333333334,125.16863624726442,13,1909.9633504337196,4,13,1.3210855520378226,0.3726235533349979,234.08333333333331,4.803789013777447,3.8568975694443597,4.278286281082929,9550,1,12,50,6.0601363,7.1810327,1.3320652,228.29236,0.6471094434870917
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,12,50,0.01,32,0,None,True,True,0.48650000000000004,0.05268667573866499,0.5169,0.41970792076886687,9.0,231.08333333333331,122.88751066637235,13,1918.183515725229,4,13,1.3266402524680534,0.36581270822649126,231.08333333333331,4.77187943407347,3.7171927083333034,4.210946102006903,9550,1,12,100,6.068575,7.3903084,1.3323036,153.99435,0.653231343523012
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,12,100,0.01,32,0,None,True,True,0.49575,0.05242116822969296,0.5279,0.4214896527476739,9.0,230.16666666666666,122.40302283849039,13,1922.9071740466309,4,13,1.3266148482964728,0.3644610747391277,230.16666666666666,4.760952285695234,3.6897743055554995,4.196450525145599,9550,1,12,200,6.083948,7.4386044,1.3331269,99.15776,0.656807370588176
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,12,300,0.01,32,0,None,True,True,0.49424999999999997,0.05210683778453756,0.5256000000000001,0.4259547642692378,9.0,228.24999999999997,121.03141809739596,13,1929.161475874946,4,13,1.329538988939804,0.3604610762620563,228.25,4.736823830374105,3.60922743055545,4.157477144077508,9550,1,12,500,6.1366773,6.9194355,1.3411936,37.40452,0.6740034696441308
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,12,500,0.01,32,0,None,True,True,0.492,0.05185336647706266,0.5256000000000001,0.43126677612058295,9.0,225.41666666666663,119.13691353508644,13,1940.2056592021372,4,13,1.3328200672823072,0.3550671591403519,225.41666666666669,4.694115701835888,3.502019097222191,4.107358609052067,9550,1,12,1000,6.2316303,6.237247,1.3524222,29.452183,0.7050222335219709
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,12,1000,0.01,32,0,None,True,True,0.48975,0.05149583163771092,0.5251,0.4405683801078424,9.0,200.58333333333337,102.66494181451515,13,2063.4379079584633,4,13,1.365163187961246,0.3061069053451751,200.58333333333331,4.407222607392451,2.602817708333329,3.5869173300809423,9550,1,12,2000,6.445241,5.0880837,1.379172,26.466213,0.7557292433847158
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,12,1000,0.01,32,0,None,True,True,0.48975,0.05131176000706028,0.5267999999999999,0.451034121654037,9.0,192.91666666666663,98.23218668033405,13,2114.122986015714,4,13,1.3706274887560925,0.2929363198717428,192.91666666666666,4.318082136010538,2.3836579861111336,3.4271049880216684,9550,1,12,3000,6.6506505,4.6385646,1.4016635,26.548996,0.8057857115051194
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,12,3000,0.01,32,0,None,True,True,0.48875,0.05107464572979555,0.5295000000000001,0.4708904827688034,9.0,188.66666666666669,95.83210144135768,13,2144.4211340126267,4,13,1.3733154388063535,0.28573020491365625,188.66666666666669,4.273627134986029,2.2678263888888943,3.3394745481606445,9550,1,12,6000,7.1807942,4.1319094,1.4400079,26.320114,0.9412458707755903
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,0,0.01,32,0,None,True,True,0.505,0.08362744839512737,0.5485,0.5211649832029386,15.0,672.6875000000001,431.21878963149334,113,835.3250864184554,8,15,1.3655840471495782,1.2152631145147128,672.6875,11.4128833451499,23.07600683593731,7.954223443230713,12730,1,16,0,7.712341,8.096161,1.5417888,36.588158,1.075358037908612
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,10,0.01,32,0,None,True,True,0.488,0.0510730759779298,0.5287,0.47896032815332557,14.0,144.37500000000003,72.5972408222241,23,2122.16022015304,4,23,1.4280887369764115,0.28848440165804456,144.375,3.2631943705516533,1.3003632812500097,3.370435109970246,12730,1,16,10,7.727422,2.36215,1.5374594,137.47255,0.9499258990846355
