model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,n_features,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_mat_norm
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,15,-2,9.999999999998899e-05,0.0002733587088167533,0.06040000000000001,0.015212974623891854,10000.0,10000.00000000002,824.9470073889597,9562,154.6544535407888,3,0,7.4177821487569515,0.5510887587312955,6.742406364831609,0.06742406364831609,7.5924704999999895,6.065195229604032,29663,10000.0,1483.1500000000028,22.460124289762053,0.06944453979561757
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,25,-2,0.0,4.173186530206857e-07,0.060899999999999954,0.015131716947048152,10000.0,10000.00000000002,731.0225577914819,9733,116.86744627996283,3,0,7.5346548002753915,0.5132382682536446,6.20347394540943,0.0620347394540943,6.585337999999984,5.934536513003381,32240,10000.0,1612.0000000000075,24.24668728582115,0.07066476624614429
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,None,-2,0.0,0.0,0.05889999999999995,0.015215549999999722,10000.0,10000.000000000015,693.0786066529542,9798,107.08874824182044,3,0,7.598936824043874,0.4926745173032598,6.167129201356769,0.06167129201356768,6.068204499999992,5.885670542917942,32430,10000.0,1621.500000000005,24.293726685141888,0.0706704639916855
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,6,-2,0.10970000000000002,0.03346578408307758,0.1341,0.036172749262497965,1259.0,10000.000000000005,1149.6873814215762,9460,171.23667831396403,8,0,5.681828945721185,0.933386854417824,158.85623510722792,1.5885623510722797,21.780275500000002,7.715915359683042,1259,1259.0,62.95,3.00853313530191,0.04240050187852255
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,8,-2,0.051899999999999946,0.019705075174721712,0.09040000000000004,0.02526588881896762,4519.0,10000.000000000007,954.1881811257148,9536,152.80052355931247,5,0,6.5574285336948,0.7059871811867408,44.257579110422654,0.4425757911042266,12.46044750000001,7.067234395407705,4519,4519.0,225.95000000000044,5.398823715261487,0.05040620616339819
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,10,-2,0.012599999999999945,0.008147021252038096,0.0706,0.01862995773605943,10000.0,10000.000000000011,896.6765024243691,9538,138.20274961085252,4,0,7.029938466859455,0.6235179548337001,16.34120434676035,0.16341204346760355,9.719365999999969,6.595092973638301,12239,10000.0,611.9500000000016,10.594340820624588,0.05883709794784969
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,15,-2,0.00029999999999996696,0.00029880631817393017,0.059599999999999986,0.015150935376930286,10000.0,10000.000000000016,822.2983613020276,9681,121.93440859740946,3,0,7.417487791878243,0.5547159813814633,6.732419968357628,0.06732419968357627,7.69274549999998,6.0732689026126945,29707,10000.0,1485.3500000000065,22.410758704038475,0.06943155957395661
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,25,-2,0.0,1.0683295783367536e-06,0.062000000000000055,0.015103368354969778,10000.0,10000.000000000016,697.2987021356057,9840,103.81714694596457,3,0,7.557162090781734,0.5026322313580776,6.187353050365053,0.061873530503650555,6.315979000000006,5.913095682884528,32324,10000.0,1616.200000000006,24.33057417947069,0.07065828594572757
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,None,-2,0.0,0.0,0.06159999999999999,0.014994549999999735,10000.0,10000.000000000022,722.6307390361972,9817,108.0555412739208,3,0,7.556792323390516,0.5080040354170426,6.18601342364913,0.0618601342364913,6.451702499999999,5.913372431321046,32331,10000.0,1616.5500000000106,24.262425852718163,0.0706704639916855
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,6,-2,0.10660000000000003,0.03399460178188401,0.12770000000000004,0.036113279840653614,1258.0,10000.000000000004,1181.3590605738798,9302,197.25110899561503,6,0,5.723093674562632,0.923223396583947,158.98251192368843,1.5898251192368837,21.308535999999894,7.698945847563878,1258,1258.0,62.900000000000006,2.982385341041477,0.04193150515273316
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,8,-2,0.04930000000000001,0.01865508923334723,0.09340000000000004,0.02431658326300953,4612.0,10000.000000000007,914.5888639164596,9607,119.44036168732913,6,0,6.577311648657516,0.6903370481149045,43.36513443191673,0.43365134431916735,11.914131000000031,7.019543973061847,4612,4612.0,230.59999999999985,5.473997059694127,0.051149022686299526
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,10,-2,0.013000000000000012,0.007666220929793343,0.07179999999999997,0.0183994099435972,10000.0,10000.000000000013,866.524128342656,9616,116.02585918664856,4,0,7.058193036469405,0.6100522108803476,15.729453401494295,0.157294534014943,9.304092499999932,6.545820890012493,12715,10000.0,635.7500000000035,10.95134199520992,0.05936302280020681
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,15,-2,0.00019999999999997797,0.0002737965801293847,0.06279999999999997,0.015362786941327223,10000.0,10000.000000000015,821.4012265634863,9572,140.48487463068756,4,0,7.415268168559165,0.5529820792756308,6.704210244033256,0.06704210244033253,7.64472950000004,6.083290899538524,29832,10000.0,1491.6000000000026,22.489472938618267,0.06940519338347309
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,25,-2,0.0,5.506131533455353e-07,0.058699999999999974,0.015144892875751045,10000.0,10000.000000000022,684.1989622909408,9838,103.76897416858277,3,0,7.579426572807872,0.49484486457878896,6.2181320731252345,0.062181320731252335,6.1217859999999975,5.908315150509982,32164,10000.0,1608.2000000000091,24.13420002254151,0.07066288527330669
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,None,-2,0.0,0.0,0.05910000000000004,0.015155549999999731,10000.0,10000.000000000013,710.1364904016693,9844,103.57605900979242,3,0,7.565956817919355,0.5042171555986567,6.151764018332257,0.06151764018332258,6.355873500000022,5.908403183831007,32511,10000.0,1625.5500000000031,24.37567156060308,0.0706704639916855
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,6,-2,0.10819999999999996,0.033264685020100944,0.12980000000000003,0.035661324532696305,1273.0,10000.000000000002,1135.3346533071208,9449,159.78110025907318,8,0,5.782775648263519,0.9103806786174672,157.10919088766698,1.571091908876669,20.71982449999999,7.681773568497504,1273,1273.0,63.64999999999999,2.988171162566015,0.04219447104338643
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,8,-2,0.047599999999999976,0.019374143541580742,0.09119999999999995,0.024951461705168147,4477.0,10000.000000000005,925.8162884719627,9657,122.81693694275232,5,0,6.575534503141956,0.6999743709593945,44.67277194549922,0.4467277194549922,12.249103000000012,7.070363382080437,4477,4477.0,223.8500000000001,5.358285629947137,0.050500393630118635
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,10,-2,0.012599999999999945,0.007552557611628899,0.06889999999999996,0.01818547599808604,10000.0,10000.000000000013,930.9730688908247,9490,206.82359633272023,3,0,7.015919811970129,0.6336233108085592,15.661707126076738,0.15661707126076743,10.036962500000019,6.584306979038753,12770,10000.0,638.500000000003,10.973332872298586,0.05933595641077939
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,15,-2,0.00019999999999997797,0.00027793213624048075,0.061000000000000054,0.015231294970184864,10000.0,10000.00000000002,791.3589609020675,9731,106.53637876331258,4,0,7.424630613103302,0.5524097573359833,6.699045386032493,0.06699045386032489,7.628913500000003,6.114138274033639,29855,10000.0,1492.7500000000073,22.614043045416505,0.0694628061865346
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,25,-2,0.0,1.5611457235152617e-06,0.06299999999999994,0.015150998317242583,10000.0,10000.000000000022,689.7417306499586,9893,101.89209979188769,3,0,7.575303626939077,0.5011257526809014,6.173030031791104,0.06173030031791105,6.278175500000006,5.926367027671353,32399,10000.0,1619.950000000007,24.370832747457726,0.07065687408480084
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,None,-2,0.0,0.0,0.05940000000000001,0.014944299999999739,10000.0,10000.000000000015,712.8269004463847,9775,109.57189420649804,3,0,7.559955448235489,0.5038833198271203,6.197130728472718,0.06197130728472717,6.347459999999997,5.9046193909687625,32273,10000.0,1613.6500000000092,24.223892536558683,0.07067046399168551
