model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,shuffle_label_frac,n_neighbors,weights,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy
knn,0,100,8192,0,1.0,True,None,13,uniform,-2,0.26,0.19786982248520701,0.3026123046875,0.20016064164201183,100.0,100.00000000000003,28.30351139693536,94,10.583005244258363,0,0,2.983137452588107,1.3690872872099864,13.0,1.2999999999999998,1.1091124260355032,3.397068946068064
knn,0,100,8192,0,1.0,True,None,13,distance,-2,0.0,0.0,0.31591796875,0.20362498167921017,100.0,100.00000000000003,28.30351139693536,94,10.583005244258363,0,0,2.983137452588107,1.3690872872099864,13.0,1.2999999999999998,1.1091124260355032,3.397068946068064
knn,0,100,8192,0,1.0,True,None,15,uniform,-2,0.30000000000000004,0.19871111111111095,0.3037109375,0.20205674913195412,100.0,100.00000000000004,30.470823932265297,97,10.295630140987,0,0,2.879255519371898,1.5929218436571206,14.999999999999998,1.4999999999999998,1.1277333333333337,3.5641015863716827
knn,0,100,8192,0,1.0,True,None,15,distance,-2,0.0,0.0,0.3155517578125,0.20350047183545472,100.0,100.00000000000004,30.470823932265297,97,10.295630140987,0,0,2.879255519371898,1.5929218436571206,14.999999999999998,1.4999999999999998,1.1277333333333337,3.5641015863716827
knn,0,100,8192,0,1.0,True,None,17,uniform,-2,0.30000000000000004,0.2031141868512111,0.30859375,0.20432585085965227,100.0,99.99999999999999,32.83607181830292,92,10.770329614269007,2,0,2.753330180105322,1.8206042952822012,17.000000000000004,1.7000000000000002,1.1469204152249135,3.6953813960320967
knn,0,100,8192,0,1.0,True,None,17,distance,-2,0.0,0.0,0.315185546875,0.20398353308493733,100.0,99.99999999999999,32.83607181830292,92,10.770329614269007,2,0,2.753330180105322,1.8206042952822012,17.000000000000004,1.7000000000000002,1.1469204152249135,3.6953813960320967
knn,0,100,8192,0,1.0,True,None,19,uniform,-2,0.32999999999999996,0.2060941828254847,0.312744140625,0.20583759846780467,100.0,100.00000000000001,35.01808001558394,94,10.583005244258363,2,0,2.653101818092246,2.0430859012777707,19.000000000000004,1.9,1.1562880886426594,3.802520739825711
knn,0,100,8192,0,1.0,True,None,19,distance,-2,0.0,0.0,0.314697265625,0.20415557701780318,100.0,100.00000000000001,35.01808001558394,94,10.583005244258363,2,0,2.653101818092246,2.0430859012777707,19.000000000000004,1.9,1.1562880886426594,3.802520739825711
knn,0,100,8192,0,1.0,True,None,21,uniform,-2,0.32999999999999996,0.20929705215419508,0.310302734375,0.20813154363305766,100.0,100.0,37.161045607700494,91,11.045361017187261,2,0,2.543286549476504,2.2697136383253285,21.000000000000004,2.0999999999999996,1.1681632653061218,3.8974104522479833
knn,0,100,8192,0,1.0,True,None,21,distance,-2,0.0,0.0,0.3135986328125,0.20476687786566738,100.0,100.0,37.161045607700494,91,11.045361017187261,2,0,2.543286549476504,2.2697136383253285,21.000000000000004,2.0999999999999996,1.1681632653061218,3.8974104522479833
knn,0,100,8192,0,1.0,True,None,23,uniform,-2,0.33999999999999997,0.21105860113421565,0.3074951171875,0.20971102795664,100.0,100.0,39.238642656248004,93,10.677078252031311,3,0,2.4577572622723185,2.5017993524661404,23.000000000000004,2.3000000000000003,1.1831758034026465,3.9894260741709333
knn,0,100,8192,0,1.0,True,None,23,distance,-2,0.0,0.0,0.313232421875,0.2051312450422905,100.0,100.0,39.238642656248004,93,10.677078252031311,3,0,2.4577572622723185,2.5017993524661404,23.000000000000004,2.3000000000000003,1.1831758034026465,3.9894260741709333
knn,0,100,8192,0,1.0,True,None,25,uniform,-2,0.37,0.2142559999999999,0.309814453125,0.21138808593749686,100.0,100.00000000000001,41.031110148276525,94,10.583005244258363,3,0,2.381978919699306,2.716983621592151,25.0,2.5,1.1811200000000002,4.059672858806949
knn,0,100,8192,0,1.0,True,None,25,distance,-2,0.0,0.0,0.3131103515625,0.20566446695545598,100.0,100.00000000000001,41.031110148276525,94,10.583005244258363,3,0,2.381978919699306,2.716983621592151,25.0,2.5,1.1811200000000002,4.059672858806949
knn,0,100,8192,0,1.0,True,None,27,uniform,-2,0.35,0.21711934156378607,0.315185546875,0.21317763256601116,100.0,100.0,43.02607114708371,95,10.488088481701515,3,0,2.291952292687317,2.9411562352245078,27.0,2.6999999999999997,1.1866117969821675,4.122843260754218
knn,0,100,8192,0,1.0,True,None,27,distance,-2,0.0,0.0,0.3126220703125,0.20633474949869046,100.0,100.0,43.02607114708371,95,10.488088481701515,3,0,2.291952292687317,2.9411562352245078,27.0,2.6999999999999997,1.1866117969821675,4.122843260754218
knn,0,100,8192,0,1.0,True,None,29,uniform,-2,0.38,0.21865636147443507,0.3187255859375,0.2151784636035964,100.0,100.0,44.93472607694397,95,10.583005244258363,3,0,2.206533577832106,3.1629732847433285,28.999999999999996,2.899999999999999,1.1895838287752682,4.18124632964848
knn,0,100,8192,0,1.0,True,None,29,distance,-2,0.0,0.0,0.31298828125,0.20717156806863124,100.0,100.0,44.93472607694397,95,10.583005244258363,3,0,2.206533577832106,3.1629732847433285,28.999999999999996,2.899999999999999,1.1895838287752682,4.18124632964848
knn,0,100,8192,0,1.0,True,None,31,uniform,-2,0.36,0.22145681581685742,0.3232421875,0.21791075072351757,100.0,100.00000000000001,46.73007930845846,90,11.045361017187261,3,0,2.130757976305871,3.384434960226005,30.999999999999996,3.1,1.1919250780437045,4.2381454579703135
knn,0,100,8192,0,1.0,True,None,31,distance,-2,0.0,0.0,0.3143310546875,0.20841432585139902,100.0,100.00000000000001,46.73007930845846,90,11.045361017187261,3,0,2.130757976305871,3.384434960226005,30.999999999999996,3.1,1.1919250780437045,4.2381454579703135
knn,0,100,8192,0,1.0,True,None,33,uniform,-2,0.37,0.22366391184572978,0.328857421875,0.22072957917242117,100.0,100.0,48.47299097429919,93,10.677078252031311,3,0,2.0652268776392604,3.600111109396486,33.0,3.3000000000000003,1.1901561065197428,4.284424110585935
knn,0,100,8192,0,1.0,True,None,33,distance,-2,0.0,0.0,0.3173828125,0.20972446596316036,100.0,100.0,48.47299097429919,93,10.677078252031311,3,0,2.0652268776392604,3.600111109396486,33.0,3.3000000000000003,1.1901561065197428,4.284424110585935
