model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,out_features,alpha,max_iter,solver,batch_size,learning_rate_init,momentum,tol,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy
rrf,0,1024,8192,0,1.0,True,1100,0,500,sgd,32,0.001,0.95,0,0.3095703125,0.1972342440811397,0.3182373046875,0.2118951641676022,1024.0,502.88181818181835,456.3635992049969,279,83.65404951345751,2,0,0.48480005571778145,22.108804928604663,502.8818181818183,15.715344925126603,0.4136615185950422,6.928963833332632
rrf,0,1024,8192,0,1.0,True,1200,0,500,sgd,32,0.001,0.95,0,0.29296875,0.19203373868672782,0.3187255859375,0.2063830307518566,1024.0,495.9508333333333,451.5332802049465,283,82.26785520481253,2,0,0.4748270331041153,22.972257032397504,495.9508333333334,15.499482719863051,0.3752708218044696,6.929205837921161
rrf,0,1024,8192,0,1.0,True,1500,0,500,sgd,32,0.001,0.95,0,0.3037109375,0.19311449485164633,0.3226318359375,0.20690706594117625,1024.0,524.2760000000001,482.2352369308756,320,77.25283166331187,2,0,0.43442923960362007,26.542351331119296,524.2760000000001,16.385389264016077,0.3206241458333336,6.929375847331269
rrf,0,1024,8192,0,1.0,True,2000,0,500,sgd,32,0.001,0.95,0,0.2958984375,0.1938707591334022,0.321533203125,0.20822388201694145,1024.0,528.5205,483.66061052224416,399,69.2098258919931,2,0,0.4547976536247459,30.694946675245735,528.5204999999999,16.516876800715078,0.2411980163574216,6.929319029901501
rrf,0,1024,8192,0,1.0,True,4000,0,500,sgd,32,0.001,0.95,0,0.2822265625,0.19364715896694434,0.327392578125,0.21037357969441606,1024.0,516.1055,467.2041598498455,564,52.51666402200353,2,0,0.4940791658505376,42.65372224241892,516.1054999999999,16.12856703957298,0.11643776135253973,6.928794168797681
rrf,1,1024,8192,0,1.0,True,10,0,500,sgd,32,0.001,0.95,0,0.306640625,0.21128930715691502,0.3248291015625,0.21709042717015828,9.0,579.3000000000001,552.6881670526337,4,704.3621227749261,3,4,0.21031837366518566,2.3184200494245495,579.3,18.1920312224886,55.04073242187478,6.929066734501368
rrf,1,1024,8192,0,1.0,True,20,0,500,sgd,32,0.001,0.95,0,0.310546875,0.204225915272581,0.3255615234375,0.21167162198860284,19.0,473.84999999999997,433.68526894511876,9,568.8725692103636,3,9,0.3853122193207695,2.8946589185639433,473.8500000000001,14.872373717735849,21.450368652343993,6.924801317048415
rrf,1,1024,8192,0,1.0,True,50,0,500,sgd,32,0.001,0.95,0,0.3134765625,0.2022074692079736,0.3214111328125,0.21117732316655788,49.0,477.08000000000015,440.2802371217676,24,392.3773693780007,2,24,0.3919681767743119,4.631232727265677,477.08000000000004,14.925816560577179,8.785230468750024,6.929533880735701
rrf,1,1024,8192,0,1.0,True,100,0,500,sgd,32,0.001,0.95,0,0.3017578125,0.1995054326502027,0.32275390625,0.2093560259439444,100.0,468.91000000000014,426.49688685850913,41,248.03628766775236,2,0,0.45917509812035884,6.438532848277027,468.90999999999997,14.66714355285309,4.2449618164062555,6.92802634649004
rrf,1,1024,8192,0,1.0,True,200,0,500,sgd,32,0.001,0.95,0,0.2978515625,0.1977861031066952,0.3189697265625,0.20849415884876332,198.0,551.0800000000006,505.7903428793397,76,197.83831782544047,2,0,0.43378796093972094,9.925824870464462,551.08,17.225203917515753,2.5221631835937504,6.9293114746143045
rrf,1,1024,8192,0,1.0,True,300,0,500,sgd,32,0.001,0.95,0,0.298828125,0.19750385875613213,0.3212890625,0.20813099200867563,298.0,522.3800000000003,474.2390163666887,114,154.82247898803325,2,0,0.4811623691429918,11.770321338062319,522.38,16.329952711369238,1.5762826171875,6.929055008889895
rrf,1,1024,8192,0,1.0,True,500,0,500,sgd,32,0.001,0.95,0,0.2978515625,0.19348639725324204,0.31884765625,0.2064355340922855,500.0,533.6200000000005,490.0220277171222,156,118.37229405566153,2,0,0.4399630607707243,15.446446532940678,533.6200000000001,16.67753602904218,0.9772757421875004,6.929267829349075
rrf,1,1024,8192,0,1.0,True,700,0,500,sgd,32,0.001,0.95,0,0.306640625,0.1999080673998594,0.3199462890625,0.21421944143245153,699.0,483.7214285714292,439.5145846736106,192,114.71704319759989,2,0,0.4786392041747782,17.305212063728593,483.7214285714286,15.120212516053213,0.6258319455516577,6.928820424958471
rrf,1,1024,8192,0,1.0,True,900,0,500,sgd,32,0.001,0.95,0,0.3056640625,0.20068994762572265,0.321533203125,0.2144882174996153,900.0,503.64000000000004,455.3907351839274,259,89.1403387922662,2,0,0.4972179408003835,19.969824581455065,503.64,15.7410967977159,0.5041542558834867,6.92848777796996
rrf,1,1024,8192,0,1.0,True,1000,0,500,sgd,32,0.001,0.95,0,0.298828125,0.19551142581741562,0.32666015625,0.20733388924593296,996.0,503.15200000000016,458.3284186868625,270,88.88194417315589,2,0,0.47363698130143994,21.122118871923064,503.152,15.724856501729992,0.4568513593749999,6.928907397401191
