model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_unexpanded_mat_norm,mean_affine_mat_norm
forest,0,1024,8192,0,1.0,True,None,1,False,15,-2,0.0361328125,0.024412363352793034,0.3333740234375,0.3183222086741267,223.0,1024.0,130.81284340614266,223,130.81284340614266,1,0,4.71878663571408,0.1277469173888112,4.591928251121076,0.14349775784753363,16.7109375,2.2126851698853676,223,223.0,223.0,14.933184523068078,0.6896286222650616,0.6896286222650616
forest,0,1024,8192,0,1.0,True,None,1,False,16,-2,0.017578125,0.01321653521232058,0.3326416015625,0.3241699697749805,243.0,1024.0,124.65953633797938,243,124.65953633797938,1,0,4.84458644297947,0.12173782845505798,4.213991769547326,0.13168724279835392,15.17578125,2.086885362619985,243,243.0,243.0,15.588457268119896,0.6976986919779049,0.6976986919779049
forest,0,1024,8192,0,1.0,True,None,1,False,17,-2,0.0146484375,0.010646945827609878,0.33154296875,0.3266867005114366,247.0,1024.0,125.50697191789786,247,125.50697191789786,1,0,4.84296701484611,0.12256540226357213,4.145748987854249,0.12955465587044535,15.3828125,2.0885047907533414,247,247.0,247.0,15.716233645501712,0.6995377432078915,0.6995377432078915
forest,0,1024,8192,0,1.0,True,None,1,False,18,-2,0.0078125,0.005634014423076919,0.3367919921875,0.33363443609133436,252.0,1024.0,123.52327715859873,252,123.52327715859873,1,0,4.88193649080022,0.12062820035019407,4.063492063492063,0.12698412698412695,14.900390625,2.0495353147992326,252,252.0,252.0,15.874507866387544,0.7031116451723176,0.7031116451723176
forest,0,1024,8192,0,1.0,True,None,1,False,19,-2,0.005859375,0.003658234126984126,0.337158203125,0.3360049477690401,256.0,1024.0,123.08533625091171,256,123.08533625091171,1,0,4.898642281703334,0.12020052368253097,4.0,0.125,14.794921875,2.032829523896118,256,256.0,256.0,16.0,0.7045152701489272,0.7045152701489272
forest,0,1024,8192,0,1.0,True,None,1,False,20,-2,0.00390625,0.0023193359375,0.3385009765625,0.3376884460449219,260.0,1024.0,122.89833196589773,260,122.89833196589773,1,0,4.910038482031672,0.120017902310447,3.9384615384615387,0.1230769230769231,14.75,2.02143332356778,260,260.0,260.0,16.1245154965971,0.7054648567168318,0.7054648567168318
forest,0,1024,8192,0,1.0,True,None,1,False,21,-2,0.0,0.0,0.341064453125,0.341064453125,266.0,1024.0,122.69474316367429,266,122.69474316367429,1,0,4.925915224993397,0.11981908512077567,3.8496240601503757,0.12030075187969926,14.701171875,2.005556580606054,266,266.0,266.0,16.30950643030009,0.7071067811865475,0.7071067811865475
forest,0,1024,8192,0,1.0,True,None,1,False,22,-2,0.001953125,0.0009765625,0.337158203125,0.336944580078125,261.0,1024.0,122.76807402578245,261,122.76807402578245,1,0,4.915274543920643,0.11989069729080318,3.9233716475095775,0.12260536398467431,14.71875,2.0161972616788093,261,261.0,261.0,16.15549442140351,0.7064159097160821,0.7064159097160821
forest,0,1024,8192,0,1.0,True,None,1,False,23,-2,0.0,0.0,0.3406982421875,0.3406982421875,265.0,1024.0,122.70289320142373,265,122.70289320142373,1,0,4.9245614219063665,0.11982704414201537,3.864150943396226,0.12075471698113208,14.703125,2.0069103836930857,265,265.0,265.0,16.278820596099706,0.7071067811865475,0.7071067811865475
forest,0,1024,8192,0,1.0,True,None,1,False,24,-2,0.0009765625,0.00048828125,0.3377685546875,0.3377685546875,265.0,1024.0,122.67028980156523,265,122.67028980156523,1,0,4.9231204312456285,0.11979520488434105,3.864150943396226,0.12075471698113208,14.6953125,2.008351374353823,265,265.0,265.0,16.278820596099706,0.7067614298686651,0.7067614298686651
forest,0,1024,8192,0,1.0,True,None,1,False,None,-2,0.0,0.0,0.3406982421875,0.3406982421875,267.0,1024.0,122.67844146385298,267,122.67844146385298,1,0,4.927780012595823,0.11980316549204392,3.8352059925093642,0.11985018726591758,14.697265625,2.003691793003628,267,267.0,267.0,16.34013463836819,0.7071067811865475,0.7071067811865475
forest,0,1024,8192,0,1.0,True,None,2,False,None,-2,0.0,0.0,0.3382568359375,0.33428955078125,533.0,1024.0,122.4642805066032,279,122.27019260637483,1,0,4.940157244314431,0.16939911505277724,3.8424015009380876,0.12007504690431517,7.34619140625,2.0220071904609784,533,532.0,266.4999999999999,16.21288924830419,0.7071067811865475,0.5
