model,rep,n_train_samples,n_test_samples,dims,onehot,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,0,1000,8192,100,True,None,16,sqrt,False,None,-2,0.0,0.0,0.0645,0.0767,1000.0,1000.0,127.17891555796503,1000,31.622776601683793,5.4961539876034395,1789
shallow_forest,0,1000,8192,100,True,None,20,sqrt,False,2,-2,0.068,0.136,0.0818,0.1438,80.0,1000.0000000000003,361.09805455028425,976,32.58834147360065,2.9075951384045866,80
shallow_forest,0,1000,8192,100,True,None,20,sqrt,False,5,-2,0.007,0.047,0.058,0.0891,572.0,1000.0,172.59100497998148,1000,31.622776601683793,4.851601296874729,572
shallow_forest,0,1000,8192,100,True,None,20,sqrt,False,15,-2,0.0,0.0,0.0555,0.0707,1000.0,1000.0000000000001,122.57428359978286,1000,31.622776601683793,5.582685806996092,2252
shallow_forest,0,1000,8192,100,True,None,20,sqrt,False,40,-2,0.0,0.0,0.0608,0.0735,1000.0,1000.0,126.25529691858476,1000,31.622776601683793,5.548877484201619,2242
shallow_forest,0,1000,8192,100,True,None,20,sqrt,False,None,-2,0.0,0.0,0.0555,0.0722,1000.0,1000.0,117.44879735442166,1000,31.622776601683793,5.648987134142491,2271
shallow_forest,1,1000,8192,100,True,None,1,sqrt,False,2,-2,0.237,0.162,0.2506,0.1727,4.0,1000.0,513.28939205871,4,513.28939205871,1.3573024169603287,4
shallow_forest,1,1000,8192,100,True,None,1,sqrt,False,5,-2,0.142,0.112,0.2809,0.2104,28.0,1000.0,317.70111740439313,28,317.70111740439313,2.6838865515527943,28
shallow_forest,1,1000,8192,100,True,None,1,sqrt,False,15,-2,0.0,0.0,0.2148,0.2148,108.0,1000.0,271.38533490223824,108,271.38533490223824,3.413617133456894,108
shallow_forest,1,1000,8192,100,True,None,1,sqrt,False,40,-2,0.0,0.0,0.2433,0.2433,120.0,1000.0,253.33771926027913,120,253.33771926027913,3.590221019365779,120
shallow_forest,1,1000,8192,100,True,None,1,sqrt,False,None,-2,0.0,0.0,0.179,0.179,93.0,1000.0,297.57688082241873,93,297.57688082241873,3.1057248489109184,93
shallow_forest,1,1000,8192,100,True,None,2,sqrt,False,2,-2,0.261,0.184,0.2928,0.2012,8.0,1000.0000000000001,459.8945531314761,16,319.7936834898401,1.7270924488017836,8
shallow_forest,1,1000,8192,100,True,None,2,sqrt,False,5,-2,0.067,0.069,0.1996,0.1382,59.0,999.9999999999999,312.6059820284954,219,197.1801207018598,3.0066855186557113,59
shallow_forest,1,1000,8192,100,True,None,2,sqrt,False,15,-2,0.0,0.0,0.2169,0.136,202.0,1000.0000000000001,198.3771660247217,427,112.69427669584645,4.007304787869987,202
shallow_forest,1,1000,8192,100,True,None,2,sqrt,False,40,-2,0.0,0.0,0.2026,0.1347,209.0,999.9999999999999,240.96680269281904,383,149.85993460561767,3.782188668937604,209
shallow_forest,1,1000,8192,100,True,None,2,sqrt,False,None,-2,0.0,0.0,0.2188,0.1357,206.0,999.9999999999998,216.62756057344131,402,118.92014127135907,3.88993908112645,206
shallow_forest,1,1000,8192,100,True,None,3,sqrt,False,2,-2,0.166,0.168,0.2191,0.1802,12.0,1000.0,390.561134779179,64,161.31955864060626,2.1041691762237447,12
shallow_forest,1,1000,8192,100,True,None,3,sqrt,False,5,-2,0.04,0.062,0.1658,0.1276,91.0,1000.0,224.502907677285,570,73.0479294709987,3.568454297561909,91
shallow_forest,1,1000,8192,100,True,None,3,sqrt,False,15,-2,0.0,0.0,0.1405,0.1126,314.0,1000.0000000000001,183.95530858215415,684,59.262129560116215,4.276397954741249,314
shallow_forest,1,1000,8192,100,True,None,3,sqrt,False,40,-2,0.0,0.0,0.1515,0.1232,350.0,1000.0000000000001,155.3805364616531,759,49.21381919745713,4.541057402148011,350
shallow_forest,1,1000,8192,100,True,None,3,sqrt,False,None,-2,0.0,0.0,0.1343,0.1063,303.0,1000.0,229.91785972869138,622,95.79144011862438,4.075209131293344,303
