model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_mat_norm
forest,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.30000000000000004,5,False,None,-2,0.0,0.0,0.6119,0.09976479999999903,1000.0,1000.0000000000006,127.59122226861847,348,123.29639086364207,0,0,4.94916240216232,0.29033084576048757,3.105590062111801,0.09820738075057078,3.3716799999999796,2.0633140682858917,1610,1000.0,322.0,17.750863205417694,0.14126680950139242
forest,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.30000000000000004,5,False,None,-2,0.0,0.0,0.653,0.10713359999999912,1000.0,1000.0000000000009,133.71163001025752,319,133.43163043296744,0,0,4.878479882910406,0.2995563386076149,3.198976327575175,0.10116051376098464,3.589359999999984,2.0471206329214198,1563,1000.0,312.6,17.631577751681935,0.14126680950139242
forest,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.4,5,False,None,-2,0.0,0.0,0.6987,0.11303919999999885,1000.0,1000.0000000000006,116.3106186038059,389,113.53413583587978,0,0,5.152743765511892,0.2646431559666715,2.7322404371584708,0.08640102896634916,2.8014399999999817,1.8466371493036875,1830,1000.0,365.99999999999994,18.95488212905994,0.14126680950139242
forest,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.4,5,False,None,-2,0.0,0.0,0.7101,0.11712239999999925,1000.0,1000.0000000000005,107.7701257306495,370,105.13800454640558,0,0,5.219185352906205,0.2435651863464892,2.8184892897406977,0.08912845716370853,2.372959999999986,1.7538063498644139,1774,1000.0,354.79999999999995,18.732612934797192,0.14126680950139242
forest,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.4,5,False,None,-2,0.0,0.0,0.7049000000000001,0.11613999999999909,1000.0,1000.000000000001,111.82343224923838,377,110.81516141756055,0,0,5.189748571287701,0.25161875923706484,2.777777777777777,0.08784104611578832,2.5324799999999845,1.770689798947693,1800,1000.0,359.99999999999994,18.85295771834951,0.14126680950139242
forest,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.5,5,False,None,-2,0.0,0.0,0.7706,0.12686639999999916,1000.0,1000.0000000000005,95.49952879464904,394,95.31002045955084,0,0,5.380822996638412,0.21379429365630878,2.5680534155110424,0.08120897945989675,1.8283199999999908,1.5400064225201746,1947,1000.0,389.4,19.693831521570402,0.14126680950139242
forest,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.5,5,False,None,-2,0.0,0.0,0.7786,0.12878479999999923,1000.0,1000.0000000000005,90.94042005621043,399,89.3420393767682,0,0,5.401732984955671,0.205635600030734,2.6082420448617634,0.08247985550778246,1.6914399999999914,1.5635812696655769,1917,1000.0,383.4,19.434835192356896,0.14126680950139242
forest,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.5,5,False,None,-2,0.0,0.0,0.7711,0.1286287999999992,999.0,1000.0000000000006,91.38139854478045,395,89.7552226892675,0,0,5.424707331831689,0.20692027450204098,2.5746652935118437,0.08141806540083366,1.7126399999999844,1.521682757214822,1942,1000.0,388.4,19.661103283595896,0.14126680950139242
forest,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.6000000000000001,5,False,None,-2,0.0,0.0,0.8186,0.13519759999999914,1000.0,1000.0000000000005,84.65364729295484,414,84.2140130857092,0,0,5.516631785973122,0.18991577080379607,2.4863252113376424,0.07862450671726454,1.4427199999999891,1.4213972501306407,2011,1000.0,402.19999999999993,19.964092673129162,0.14126680950139242
forest,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.6000000000000001,5,False,None,-2,0.0,0.0,0.8166,0.13769199999999943,999.0,1000.0000000000005,79.9184584435911,415,79.435508432942,0,0,5.589275315052551,0.17930421077041106,2.4679170779861797,0.0780423904286372,1.2859999999999934,1.348157160805933,2026,1000.0,405.2,20.03872352587526,0.14126680950139242
forest,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.6000000000000001,5,False,None,-2,0.0,0.0,0.8305,0.1387703999999993,1000.0,1000.0000000000003,74.34029862732595,427,73.38937252763509,0,0,5.629758487719115,0.16734993277560647,2.4497795198432137,0.07746883047938215,1.1202399999999948,1.3257964158432625,2041,1000.0,408.19999999999993,20.051565364586036,0.14126680950139242
forest,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.7000000000000001,5,False,None,-2,0.0,0.0,0.8529,0.14141599999999932,1000.0,1000.0000000000007,73.65487085047397,420,72.97944916207575,0,0,5.6457079667292795,0.16541463055002117,2.4654832347140037,0.07796542554655767,1.0944799999999966,1.2978455376007059,2028,1000.0,405.5999999999999,20.04455942127844,0.14126680950139242
