model,rep,n_train_samples,n_test_samples,save_path,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,n_total_leaves
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,21,-2,0.00039999999999995595,0.0008414570696119915,0.22950000000000004,0.32501834005135577,10000.0,1111.6645177390524,1567,1111.6645177390524,1567,1567,34694.157235946215,0.11116645177390523,6.3816209317166575,0.06381620931716656,1567
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,22,-2,0.0,0.0,0.24239999999999995,0.34280536751923835,10000.0,1064.1278118722394,1579,1064.1278118722394,1579,1579,34157.90824653067,0.10641278118722393,6.333122229259024,0.06333122229259026,1579
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,23,-2,0.0009000000000000119,0.0017910517102138932,0.24960000000000004,0.3534188737871475,10000.0,1171.2881797405794,1650,1171.2881797405794,1650,1650,33881.669401567466,0.11712881797405794,6.060606060606062,0.060606060606060594,1650
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,24,-2,0.0,0.0,0.24939999999999996,0.35270486245585,10000.0,1006.5942578814962,1623,1006.5942578814962,1623,1623,33556.09034182542,0.10065942578814961,6.161429451632778,0.061614294516327786,1623
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,25,-2,0.0010999999999999899,0.0027091360634166244,0.2502,0.3550646118991884,10000.0,1165.921952791009,1596,1165.921952791009,1596,1596,34926.27772389023,0.1165921952791009,6.265664160401002,0.06265664160401004,1596
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,26,-2,0.0,0.0,0.24639999999999995,0.34846222176873065,10000.0,1028.2130129501377,1722,1028.2130129501377,1722,1722,33322.91556888019,0.10282130129501377,5.807200929152151,0.05807200929152148,1722
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,27,-2,0.0004999999999999449,0.001242774914801262,0.23860000000000003,0.3378933494467535,10000.0,1236.2936544365177,1633,1236.2936544365177,1633,1633,34400.28997202513,0.12362936544365179,6.123698714023269,0.0612369871402327,1633
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,28,-2,0.0,0.0,0.24309999999999998,0.34379531701289945,10000.0,1139.2313197941846,1578,1139.2313197941846,1578,1578,34889.85984088999,0.11392313197941847,6.337135614702153,0.06337135614702155,1578
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,29,-2,0.0,0.0,0.22929999999999995,0.3242791698521507,10000.0,1066.1003705092687,1559,1066.1003705092687,1559,1559,34898.79317401783,0.10661003705092686,6.414368184733803,0.06414368184733803,1559
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,1,False,30,-2,0.0,0.0,0.2429,0.34351247430042486,10000.0,1024.5545373478174,1616,1024.5545373478174,1616,1616,33888.29634271386,0.10245545373478172,6.188118811881188,0.06188118811881188,1616
