model,rep,n_train_samples,n_test_samples,save_path,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,entropy,rows_mean_L2,cols_mean_L1,cols_mean_L2,n_parameters,depth,width
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,38,6000,0.01,32,0,0,True,True,0.01824999999999999,0.0044072852382403506,0.17269999999999996,0.6642138973602247,5788.000000000002,1774.2778812801564,343,841.7505568753727,28,343,35473.155778704386,0.4275052631254965,152.3157894736842,2.716778685611472,30220,1,38
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,40,6000,0.01,32,0,0,True,True,0.01824999999999999,0.0039435826013796745,0.1805,0.7005723695377926,5727.0,1719.3757588148087,360,850.8572148133904,28,360,34767.89451116152,0.4159297566897564,143.17500000000004,2.5533066795823807,31810,1,40
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,42,6000,0.01,32,0,0,True,True,0.01749999999999996,0.003546554969019218,0.1875,0.7141822778100726,5597.000000000002,1660.8007105008114,352,870.6354001532444,30,352,33692.412400758825,0.40348474258638334,133.2619047619048,2.3672223166822834,33400,1,42
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,44,6000,0.01,32,0,0,True,True,0.015499999999999958,0.003170400871518328,0.20489999999999997,0.7344424242839375,5549.0,1628.6654045567493,353,874.0640708781021,31,353,33200.81713481131,0.3965792007909643,126.11363636363635,2.2354904060120457,34990,1,44
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,46,6000,0.01,32,0,0,True,True,0.015499999999999958,0.003003787988040892,0.21550000000000002,0.7496732219788559,5525.000000000002,1606.5730608970139,347,873.790592762362,32,347,32881.80587227133,0.3915798928698971,120.10869565217389,2.1261047389671566,36580,1,46
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,48,6000,0.01,32,0,0,True,True,0.015249999999999986,0.002848025464241615,0.2218,0.8255089547130601,5512.000000000002,1586.8484489704747,359,870.0873519365742,34,359,32596.13766862512,0.3872094071687825,114.83333333333333,2.033358947926094,38170,1,48
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,50,6000,0.01,32,0,0,True,True,0.015249999999999986,0.00271740739955334,0.23009999999999997,0.8728452595583217,5505.0,1573.2415580577574,371,871.9082520540794,35,371,32415.62572314155,0.3841026067341903,110.1,1.9551981996718388,39760,1,50
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,51,6000,0.01,32,0,0,True,True,0.00924999999999998,0.002512726640622282,0.11309999999999998,0.6729593230874189,14425.0,4341.624695894384,1528,420.3950523019984,48,1528,95484.5162961662,0.7150790603143123,282.843137254902,5.201550947248744,40555,1,51
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,52,6000,0.01,32,0,0,True,True,0.007249999999999979,0.0028284152302733177,0.11019999999999996,0.628202860850462,16260.000000000004,5464.2898898210005,1694,369.39139134527755,43,1694,112029.37876501284,0.9467959125387054,312.69230769230774,5.421849288217261,41350,1,52
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,54,6000,0.01,32,0,0,True,True,0.006000000000000005,0.002464617948137462,0.1069,0.6000175782334118,20380.999999999993,7308.077927882265,2115,278.6323742855449,51,2115,145257.04793744406,1.073658901839872,377.42592592592587,6.720793644753833,42940,1,54
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,56,6000,0.01,32,0,0,True,True,0.006000000000000005,0.0024310797670412487,0.1139,0.4788595153079121,18876.0,6692.816148677626,1838,308.73289426298584,51,1838,133291.09939441935,1.0763927025022049,337.07142857142856,5.851696073684579,44530,1,56
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,58,6000,0.01,32,0,0,True,True,0.004249999999999976,0.0018184398963124026,0.09609999999999996,0.5224965925547342,20601.0,6581.323651059869,2035,356.23587691303635,53,2035,144050.7419880448,0.9667643521044826,355.18965517241384,6.376723613487273,46120,1,58
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,60,6000,0.01,32,0,0,True,True,0.005249999999999977,0.0016914117125074741,0.09799999999999998,0.4160935112183715,15931.0,4232.924402821293,1870,359.8249574445886,55,1870,103531.00767654282,0.7145833138969871,265.51666666666665,4.7952233177055135,47710,1,60
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,62,6000,0.01,32,0,0,True,True,0.007000000000000006,0.0021595334904218485,0.10560000000000003,0.505284909913781,15075.999999999998,4497.453501705159,1721,357.0434147271169,58,1721,99328.80455126095,0.7564692657339093,243.1612903225806,4.3799752445144975,49300,1,62
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,64,6000,0.01,32,0,0,True,True,0.0050000000000000044,0.0016267600554228892,0.09730000000000005,0.5792789976999756,20500.0,6156.537663329934,2220,283.08655920053855,63,2220,140376.9356304879,0.9532648503957335,320.3125,5.592484144479088,50890,1,64
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,128,6000,0.01,32,0,0,True,True,0.0004999999999999449,0.0009334963037792481,0.07099999999999995,0.8287517029621572,75388.0,26837.19009136389,3980,63.608175575157006,128,3980,594906.4388792242,2.430415730898728,588.96875,9.725436054250345,101770,1,128
