model,rep,n_train_samples,n_test_samples,recurse_level,angle_params,cov_scale,onehot,noise_dims,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,0,1000,8192,0,45,1,True,0,None,20,1,False,15,-2,0.002,0.012,0.3126,0.2296,1000.0,1000.0000000000001,82.42930304206145,800,43.12771730569565,5.712211440774824,4884
shallow_forest,0,1000,8192,0,45,1,True,0,None,20,1,False,40,-2,0.0,0.0,0.3137,0.2397,1000.0,1000.0,76.39944371525229,827,40.98780306383839,5.860932392984328,6022
shallow_forest,1,1000,8192,0,45,1,True,0,None,1,1,False,2,-2,0.319,0.211,0.3274,0.2151,4.0,1000.0,713.1605709796357,4,713.1605709796357,0.8793631989323527,4
shallow_forest,1,1000,8192,0,45,1,True,0,None,1,1,False,5,-2,0.304,0.179,0.3291,0.1996,26.0,1000.0,390.287073831558,26,390.287073831558,2.2499898023148326,26
shallow_forest,1,1000,8192,0,45,1,True,0,None,1,1,False,15,-2,0.079,0.046,0.35,0.3137,252.0,1000.0,105.61249926026748,252,105.61249926026748,4.9758703096948524,252
shallow_forest,1,1000,8192,0,45,1,True,0,None,1,1,False,40,-2,0.0,0.0,0.3562,0.3562,330.0,1000.0,87.7382470761754,330,87.7382470761754,5.343384420181068,330
shallow_forest,1,1000,8192,0,45,1,True,0,None,2,1,False,2,-2,0.325,0.21,0.3286,0.2124,8.0,1000.0,680.5490430527398,8,625.01839972916,1.0776175747928722,8
shallow_forest,1,1000,8192,0,45,1,True,0,None,2,1,False,5,-2,0.278,0.171,0.3108,0.1901,52.0,1000.0000000000001,341.677479503698,71,267.89923478800756,2.738921291349576,52
shallow_forest,1,1000,8192,0,45,1,True,0,None,2,1,False,15,-2,0.048,0.036,0.347,0.2669,492.0,1000.0,100.35188089916403,446,81.06787279804497,5.252048345284576,492
shallow_forest,1,1000,8192,0,45,1,True,0,None,2,1,False,40,-2,0.0,0.0,0.3523,0.2962,687.0,1000.0000000000001,77.5918810185705,559,63.984373092185564,5.67116515075288,687
shallow_forest,1,1000,8192,0,45,1,True,0,None,3,1,False,2,-2,0.327,0.203,0.3295,0.2046,12.0,1000.0000000000002,628.3125549172695,18,486.41340442056077,1.3436658395613006,12
shallow_forest,1,1000,8192,0,45,1,True,0,None,3,1,False,5,-2,0.269,0.168,0.3071,0.1874,81.0,1000.0,320.6878024912495,103,207.97115184563458,2.8939343389775747,81
shallow_forest,1,1000,8192,0,45,1,True,0,None,3,1,False,15,-2,0.02,0.03,0.3542,0.2491,729.0,1000.0,90.28227339233813,592,58.8387627334226,5.454611916500511,729
shallow_forest,1,1000,8192,0,45,1,True,0,None,3,1,False,40,-2,0.0,0.0,0.3522,0.2797,1000.0,1000.0000000000002,74.7900765847686,661,56.815490845367165,5.801723553454269,1036
shallow_forest,1,1000,8192,0,45,1,True,0,None,4,1,False,2,-2,0.318,0.201,0.3242,0.2041,16.0,1000.0,628.7579025348309,16,493.25247085037495,1.303657763988442,16
shallow_forest,1,1000,8192,0,45,1,True,0,None,4,1,False,5,-2,0.261,0.168,0.2958,0.1895,108.0,1000.0,312.9139258646058,152,216.50404153271597,3.0105343128673154,108
shallow_forest,1,1000,8192,0,45,1,True,0,None,4,1,False,15,-2,0.017,0.028,0.3362,0.243,1000.0,1000.0000000000001,95.38736813645714,650,57.56735185849702,5.49867665903675,1010
shallow_forest,1,1000,8192,0,45,1,True,0,None,4,1,False,40,-2,0.0,0.0,0.3441,0.2596,1000.0,1000.0000000000001,69.48920779516773,748,47.11687595755899,5.911968359004817,1354
shallow_forest,1,1000,8192,0,45,1,True,0,None,5,1,False,2,-2,0.327,0.209,0.3303,0.2111,20.0,999.9999999999999,675.2233408287956,14,612.798498692678,1.1492287556812912,20
shallow_forest,1,1000,8192,0,45,1,True,0,None,5,1,False,5,-2,0.263,0.165,0.29,0.1857,132.0,1000.0000000000001,308.09024651877576,165,153.7725593205758,3.060380191513241,132
shallow_forest,1,1000,8192,0,45,1,True,0,None,5,1,False,15,-2,0.017,0.029,0.3424,0.2363,1000.0,1000.0000000000001,90.4977347782805,690,49.51767361255979,5.578224683694935,1297
shallow_forest,1,1000,8192,0,45,1,True,0,None,5,1,False,40,-2,0.0,0.0,0.3469,0.2651,1000.0,1000.0,70.07995433788466,744,45.760244754590204,5.9183758301198885,1721
shallow_forest,1,1000,8192,0,45,1,True,0,None,7,1,False,2,-2,0.327,0.209,0.3296,0.2111,28.0,1000.0000000000001,679.4174875943212,16,612.465509232969,1.1560767524765574,28
shallow_forest,1,1000,8192,0,45,1,True,0,None,7,1,False,5,-2,0.272,0.166,0.298,0.1877,183.0,1000.0000000000002,321.950687059306,190,176.57293110780031,3.0475600663166102,183
shallow_forest,1,1000,8192,0,45,1,True,0,None,7,1,False,15,-2,0.018,0.037,0.3358,0.2292,1000.0,1000.0000000000002,112.96251861677348,773,46.238512086787566,5.474262144753469,1671
shallow_forest,1,1000,8192,0,45,1,True,0,None,7,1,False,40,-2,0.0,0.0,0.344,0.255,1000.0,1000.0,69.16322014198127,808,41.54515615568198,5.962954947218412,2352
shallow_forest,1,1000,8192,0,45,1,True,0,None,10,1,False,2,-2,0.325,0.205,0.3282,0.2081,40.0,1000.0000000000013,649.7944136417306,21,485.46060602277504,1.2867086113046682,40
shallow_forest,1,1000,8192,0,45,1,True,0,None,10,1,False,5,-2,0.264,0.165,0.3071,0.1861,272.0,1000.0,304.8368088010369,197,179.4993036198191,3.1121180814070772,272
shallow_forest,1,1000,8192,0,45,1,True,0,None,10,1,False,15,-2,0.008,0.035,0.3363,0.2225,1000.0,1000.0000000000002,94.3506226794503,818,39.74921382870358,5.6178445508901484,2352
shallow_forest,1,1000,8192,0,45,1,True,0,None,10,1,False,40,-2,0.0,0.0,0.334,0.2473,1000.0,1000.0000000000002,70.4389097019538,823,42.02380277890139,5.991074391015058,3399
shallow_forest,1,1000,8192,0,45,1,True,0,None,13,1,False,2,-2,0.325,0.209,0.3282,0.2115,52.0,1000.0000000000007,673.1500971213165,21,485.46060602277504,1.2184808267858105,52
shallow_forest,1,1000,8192,0,45,1,True,0,None,13,1,False,5,-2,0.261,0.165,0.2847,0.1845,338.0,1000.0000000000002,303.8757921280011,249,131.41537200799607,3.142496987236901,338
shallow_forest,1,1000,8192,0,45,1,True,0,None,13,1,False,15,-2,0.004,0.025,0.3351,0.2239,1000.0,1000.0000000000002,80.20417731746643,870,37.68288736283355,5.778567523825642,3261
shallow_forest,1,1000,8192,0,45,1,True,0,None,13,1,False,40,-2,0.0,0.0,0.3331,0.2442,1000.0,1000.0000000000002,66.45397036682454,862,37.92097045171708,6.033792391555019,4367
shallow_forest,1,1000,8192,0,45,1,True,0,None,16,1,False,2,-2,0.318,0.202,0.3242,0.2052,64.0,1000.0000000000008,630.4700875140705,21,485.46060602277504,1.3402326032919025,64
shallow_forest,1,1000,8192,0,45,1,True,0,None,16,1,False,5,-2,0.267,0.166,0.2881,0.1863,425.0,1000.0000000000006,295.2682308088698,273,127.87493890516625,3.2025492347365656,425
shallow_forest,1,1000,8192,0,45,1,True,0,None,16,1,False,15,-2,0.003,0.03,0.333,0.221,1000.0,1000.0000000000003,85.69960253700133,857,39.54743986657038,5.731303450913866,3842
shallow_forest,1,1000,8192,0,45,1,True,0,None,16,1,False,40,-2,0.0,0.0,0.3317,0.2386,1000.0,1000.0000000000002,66.54814986158519,886,36.796738985948195,6.07045218507197,5457
shallow_forest,1,1000,8192,0,45,1,True,0,None,20,1,False,2,-2,0.318,0.204,0.3242,0.2077,80.0,1000.000000000001,646.7068539918223,16,493.25247085037495,1.2611194745473246,80
shallow_forest,1,1000,8192,0,45,1,True,0,None,20,1,False,5,-2,0.25,0.164,0.2898,0.1853,516.0,1000.0000000000002,304.34573267913584,273,126.49110640673517,3.185397828487889,516
shallow_forest,1,1000,8192,0,45,1,True,0,None,20,1,False,15,-2,0.001,0.03,0.3312,0.2179,1000.0,1000.0000000000002,87.44535436488324,867,38.54867053479276,5.7427318005183405,4888
shallow_forest,1,1000,8192,0,45,1,True,0,None,20,1,False,40,-2,0.0,0.0,0.3334,0.2425,1000.0,1000.0000000000002,68.80403331200868,881,37.20215047547655,6.046807670778142,6783
shallow_forest,2,1000,8192,0,45,1,True,0,None,1,1,False,2,-2,0.312,0.211,0.3334,0.2189,4.0,1000.0,644.7604206214894,4,644.7604206214894,1.0396724896407763,4
shallow_forest,2,1000,8192,0,45,1,True,0,None,1,1,False,5,-2,0.273,0.169,0.3114,0.1977,26.0,1000.0,362.8580989863668,26,362.8580989863668,2.4754870511514993,26
shallow_forest,2,1000,8192,0,45,1,True,0,None,1,1,False,15,-2,0.057,0.037,0.3575,0.3289,259.0,1000.0,103.11159003720194,259,103.11159003720194,5.015433184713162,259
shallow_forest,2,1000,8192,0,45,1,True,0,None,1,1,False,40,-2,0.0,0.0,0.354,0.354,324.0,1000.0,89.09545442950498,324,89.09545442950498,5.3178921535491614,324
shallow_forest,2,1000,8192,0,45,1,True,0,None,2,1,False,2,-2,0.29,0.196,0.312,0.2017,8.0,1000.0,557.1566207091146,16,426.0187789288167,1.488015418791012,8
shallow_forest,2,1000,8192,0,45,1,True,0,None,2,1,False,5,-2,0.241,0.167,0.2924,0.1991,58.0,1000.0,331.79662445540345,82,271.0903908293321,2.8395963549290157,58
shallow_forest,2,1000,8192,0,45,1,True,0,None,2,1,False,15,-2,0.046,0.038,0.3585,0.2714,483.0,1000.0000000000001,132.46131510746824,424,102.87856919689348,5.049584663674442,483
shallow_forest,2,1000,8192,0,45,1,True,0,None,2,1,False,40,-2,0.0,0.0,0.3641,0.3002,660.0,999.9999999999999,85.64753353132826,527,72.77362159464101,5.586868798370499,660
shallow_forest,2,1000,8192,0,45,1,True,0,None,3,1,False,2,-2,0.396,0.216,0.4049,0.22,12.0,1000.0000000000001,664.5600048152161,12,633.8864251583244,1.1686661952146489,12
shallow_forest,2,1000,8192,0,45,1,True,0,None,3,1,False,5,-2,0.235,0.159,0.2898,0.1906,83.0,1000.0,269.91850621993296,144,186.41351882307248,3.1442524651521238,83
shallow_forest,2,1000,8192,0,45,1,True,0,None,3,1,False,15,-2,0.016,0.018,0.3436,0.2629,822.0,1000.0000000000002,84.94704232638121,605,60.149812967290266,5.573793094398058,822
shallow_forest,2,1000,8192,0,45,1,True,0,None,3,1,False,40,-2,0.0,0.0,0.3524,0.2907,972.0,1000.0000000000003,80.8620224003003,574,62.48199740725323,5.654165700947751,972
shallow_forest,2,1000,8192,0,45,1,True,0,None,4,1,False,2,-2,0.308,0.205,0.3174,0.2104,16.0,999.9999999999999,587.2155694461787,15,475.28307354670227,1.4027856642578447,16
shallow_forest,2,1000,8192,0,45,1,True,0,None,4,1,False,5,-2,0.233,0.157,0.2903,0.1904,113.0,1000.0000000000003,282.60927090242456,111,202.44505427399307,3.0965474593921694,113
shallow_forest,2,1000,8192,0,45,1,True,0,None,4,1,False,15,-2,0.021,0.023,0.3553,0.2589,1000.0,1000.0000000000003,87.50857100878748,618,52.72570530585627,5.548373904292569,1061
shallow_forest,2,1000,8192,0,45,1,True,0,None,4,1,False,40,-2,0.0,0.0,0.3441,0.2683,1000.0,1000.0000000000001,79.08539688210459,674,56.124860801609124,5.78759155377494,1318
shallow_forest,2,1000,8192,0,45,1,True,0,None,5,1,False,2,-2,0.302,0.2,0.3162,0.2054,20.0,1000.0,577.2121273847249,19,385.3050739349276,1.4979446273206478,20
shallow_forest,2,1000,8192,0,45,1,True,0,None,5,1,False,5,-2,0.234,0.156,0.2924,0.1885,133.0,999.9999999999998,288.05388384814387,194,165.42067585401773,3.1796705460528916,133
shallow_forest,2,1000,8192,0,45,1,True,0,None,5,1,False,15,-2,0.01,0.016,0.3408,0.247,1000.0,1000.0000000000005,78.41581473146854,755,46.08687448721165,5.741135854669904,1362
shallow_forest,2,1000,8192,0,45,1,True,0,None,5,1,False,40,-2,0.0,0.0,0.3406,0.2638,1000.0,1000.0000000000001,73.00794477315465,730,47.41307836451879,5.873383110285513,1666
