model,rep,n_train_samples,n_estimators,max_features,splitter,bootstrap,max_depth,n_jobs,train_01_error,test_01_error,irm_l2,activated_regions,regions_l2,n_total_leaves
forest,0,4096,10,1,random,False,4,-1,0.31396484375,0.3235,1766.2874341397542,459,361.0817082046666,123
forest,0,4096,10,1,random,False,6,-1,0.276611328125,0.28400000000000003,1074.6252649179619,1341,177.358394219163,387
forest,0,4096,10,1,random,False,8,-1,0.25,0.27669999999999995,720.4028317545675,2482,109.75427098751103,1029
forest,0,4096,10,1,random,False,10,-1,0.24169921875,0.28600000000000003,593.2091873867093,2920,96.72641831474994,1847
forest,0,4096,10,1,random,False,15,-1,0.0810546875,0.28969999999999996,171.88507788635988,4019,65.22269543648132,9321
forest,0,4096,10,1,random,False,20,-1,0.0,0.31620000000000004,91.00670304983035,4077,64.29618962271404,21172
forest,0,4096,10,1,random,False,None,-1,0.0,0.3215,87.98943118352341,4066,64.48255578061404,25161
forest,0,4096,20,1,random,False,2,-1,0.3388671875,0.3337,2598.3856238056696,281,489.39145885477,78
forest,0,4096,20,1,random,False,3,-1,0.28662109375,0.28559999999999997,2386.4242267459467,544,389.5741264509233,145
forest,0,4096,20,1,random,False,4,-1,0.291259765625,0.29469999999999996,1841.1153711812844,1143,198.27253970229975,261
forest,0,4096,20,1,random,False,6,-1,0.28125,0.2911,1282.8382438951533,2052,132.95864018558564,700
forest,0,4096,20,1,random,False,8,-1,0.254638671875,0.2754,781.3269002152675,3167,85.00588214941364,1895
forest,0,4096,20,1,random,False,10,-1,0.222412109375,0.27549999999999997,535.3576701608,3819,68.90573270780882,4280
forest,0,4096,20,1,random,False,15,-1,0.059814453125,0.28890000000000005,158.93081828267293,4086,64.15605972938177,20385
forest,0,4096,20,1,random,False,20,-1,0.0,0.3117,93.86591500646016,4088,64.1248781675256,40276
forest,0,4096,20,1,random,False,None,-1,0.0,0.3156,83.30660237940327,4094,64.03124237432849,50371
forest,1,4096,1,1,random,False,2,-1,0.495361328125,0.49939999999999996,3302.5199469496083,4,3302.5199469496083,4
forest,1,4096,1,1,random,False,3,-1,0.4873046875,0.4861,2855.931721872915,8,2855.931721872915,8
