model,rep,n_train_samples,n_estimators,bootstrap,max_depth,n_jobs,train_mse,test_mse,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,entropy,rows_mean_L1,rows_mean_L2,cols_mean_L1,cols_mean_L2,n_total_leaves
forest,0,500,5,False,3,-1,0.2250770906253046,0.2414579043938962,2500.0000000000023,1981.3530730286313,19,383.61178292643723,14,19,17284.940427986956,5.0,1.840152167620928,71.4285714285714,3.1943828249996997,35
forest,0,500,5,False,4,-1,0.21505135465560138,0.23631686614234082,2500.0000000000005,1622.2743294523275,28,273.94159961568454,25,28,15984.981157887567,5.0,1.606573994561097,46.29629629629629,2.0704333124998047,54
forest,0,500,5,False,6,-1,0.17714578713104823,0.217602225941469,2500.0000000000005,1380.4484778505864,79,129.90765951243984,62,79,14157.453670663574,4.999999999999999,1.469239258936406,23.58490566037736,1.054749045990467,106
forest,0,500,5,False,8,-1,0.15658052361090966,0.22381034369973998,2500.0,1263.6114909259093,119,103.98076745244767,101,119,13222.654529704492,5.0,1.3529138923080064,13.586956521739133,0.6076271677988558,184
forest,0,500,5,False,10,-1,0.0861743061224208,0.20912906148107285,2500.0000000000014,565.5439859109107,251,49.09175083453431,210,251,9570.818217749571,5.0,0.8391614862468367,8.064516129032256,0.3606561254031919,310
forest,0,500,5,False,15,-1,0.022343873908440358,0.2384566310431937,2499.9999999999995,272.1947831976212,360,31.496031496047245,336,360,7032.429389138873,5.0,0.3421929280391399,4.13907284768212,0.18510496502481708,604
forest,0,500,5,False,20,-1,0.005038009553664726,0.255547391767046,2500.000000000001,240.6324998831206,378,30.298514815086232,354,378,6557.550285441006,5.000000000000001,0.2788834882168537,3.238341968911917,0.14482305553755112,772
forest,0,500,5,False,None,-1,0.0,0.26176400000000005,2500.000000000001,240.65327755923047,381,32.46536616149585,370,381,6387.205012665958,5.000000000000001,0.2654656286602844,2.837684449489217,0.12690510655503914,881
forest,0,500,10,False,2,-1,0.23334429180519695,0.24273579592090358,5000.000000000005,4309.098049476247,14,365.589934215919,9,14,39320.96041319294,10.0,2.855746487347923,135.1351351351351,6.043426966215648,37
forest,0,500,10,False,3,-1,0.22274635320995706,0.2371088916205496,5000.000000000002,3522.9564289102423,37,238.61684768683037,24,37,36193.11730109741,9.999999999999998,2.518483670782878,73.52941176470588,3.288335261029103,68
forest,0,500,10,False,4,-1,0.20454854130383535,0.2248736241352541,5000.000000000002,3067.031463809917,63,151.9341962824696,43,63,34207.4569423593,9.999999999999998,2.3486012858720824,53.76344086021504,2.404374169354613,93
forest,0,500,10,False,6,-1,0.16518328440374858,0.20760842633699927,4999.999999999999,2223.2354801055153,134,77.13624310270757,100,134,29602.324304469967,10.0,1.8468914423971974,25.12562814070352,1.1236522499998944,199
forest,0,500,10,False,8,-1,0.1533574821491385,0.2107404230628303,5000.000000000002,2000.686882048263,192,61.465437442517235,129,192,27812.27517354528,10.0,1.7123410875173204,17.36111111111111,0.7764124921874271,288
forest,0,500,10,False,10,-1,0.10067079339005267,0.20298301512095396,5000.000000000001,1140.9206808538445,320,36.87817782917155,267,320,22907.574468458686,10.0,1.111186752980794,9.803921568627448,0.438444701470547,510
forest,0,500,10,False,15,-1,0.027240862979469677,0.22831088818097722,5000.0,629.5188638952768,393,28.879058156387302,380,393,17980.9111956731,10.000000000000002,0.623211039696827,4.366812227074234,0.1952897796943048,1145
forest,0,500,10,False,20,-1,0.0046370287729190105,0.24398214890163372,5000.000000000002,490.56905732016986,414,27.49545416973504,406,414,16331.613558019053,10.000000000000002,0.43654094882381883,3.2722513089005227,0.14633952732328465,1528
forest,0,500,10,False,None,-1,0.0,0.25033199999999994,5000.000000000001,461.9502137676743,414,27.640549922170507,407,414,15866.509157377122,10.000000000000002,0.37468920454157734,2.906976744186046,0.13000395218022032,1720
forest,0,500,20,False,2,-1,0.23926046556332475,0.24740199964946324,10000.000000000013,8626.357980051604,14,365.589934215919,9,14,85773.06143383203,19.999999999999996,4.088273963422706,151.51515151515153,6.77596356818118,66
