model,rep,n_train_samples,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,train_01_error,test_01_error,irm_l2_pen,activated_regions_pen,regions_l2_pen,irm_l2_all,activated_regions_all,regions_l2_all,n_parameters,depth,width
network,0,4096,4;4;4;4;4,1000,0.01,128,0,0.26611328125,0.2722,156.54858670713068,3,3072.555939279219,1196.7596051421522,101,784.6183785764899,102,5,4
network,0,4096,4;4;4;4;4;4;4,1000,0.01,128,0,0.26904296875,0.26970000000000005,146.28571428571422,1,4095.999999999998,1278.305856297661,112,732.4711598418056,142,7,4
network,0,4096,4;4;4;4;4;4;4;4;4;4;4,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,2020.887171061552,35,1191.7633993373013,222,11,4
network,0,4096,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1771.909179976438,119,688.6218120274727,342,17,4
network,0,4096,8,1000,0.01,128,0,0.266357421875,0.2713,893.7174994090693,23,1114.6470293326045,893.7174994090693,23,1114.6470293326045,42,1,8
network,0,4096,8;8,1000,0.01,128,0,0.269775390625,0.2693,419.53901412741106,10,1799.675526310229,1032.7771892602245,57,922.7220599942325,114,2,8
network,0,4096,8;8;8,1000,0.01,128,0,0.258056640625,0.2741,286.7029016585713,24,1267.839106511548,688.0055287851171,201,672.2960657329478,186,3,8
network,0,4096,8;8;8;8;8,1000,0.01,128,0,0.258056640625,0.27669999999999995,107.50964782288146,8,2353.568354647896,805.5353736025506,356,465.6737055063341,330,5,8
network,0,4096,8;8;8;8;8;8;8,1000,0.01,128,0,0.2490234375,0.27470000000000006,60.20141046045822,3,2575.2075644499027,518.5185167073275,471,458.38193681688637,474,7,8
network,0,4096,8;8;8;8;8;8;8;8;8;8;8,1000,0.01,128,0,0.272705078125,0.27170000000000005,47.233908340380225,4,2513.789569554302,559.8315800180771,431,495.4069034642129,762,11,8
network,0,4096,16,1000,0.01,128,0,0.267333984375,0.27,474.14447626751894,36,979.6652489498645,474.14447626751894,36,979.6652489498645,82,1,16
network,0,4096,16;16,1000,0.01,128,0,0.26220703125,0.27480000000000004,118.18364119824282,22,1191.2346536262282,602.3296853092066,158,602.586093433959,354,2,16
network,0,4096,16;16;16,1000,0.01,128,0,0.252197265625,0.28280000000000005,88.95295895162792,35,1272.904552588292,386.1579144544798,481,356.8865365911132,626,3,16
network,0,4096,16;16;16;16;16,1000,0.01,128,0,0.264404296875,0.2804,40.52366785287334,9,2545.8114619900657,437.1310295909567,798,315.3093718873576,1170,5,16
network,0,4096,16;16;16;16;16;16;16,1000,0.01,128,0,0.25048828125,0.2824,42.68235002699041,5,2313.0598781700405,347.82014942447347,1122,230.78561480300283,1714,7,16
network,0,4096,32,1000,0.01,128,0,0.2705078125,0.2682,260.7762581906903,48,836.9611699475669,260.7762581906903,48,836.9611699475669,162,1,32
network,0,4096,32;32,1000,0.01,128,0,0.252197265625,0.2793,124.21333124973442,237,558.8631317236807,286.6396101610544,670,295.76003786853965,1218,2,32
network,0,4096,32;32;32,1000,0.01,128,0,0.239990234375,0.2834,49.838859260231004,68,1017.7494780150956,222.73337723625843,724,316.87221399169727,2274,3,32
network,0,4096,32;32;32;32;32,1000,0.01,128,0,0.243408203125,0.29200000000000004,25.687156323735003,14,1973.4806814357212,193.23066506606827,1230,256.60865145197266,4386,5,32
network,0,4096,64,1000,0.01,128,0,0.2705078125,0.26670000000000005,128.41527141891558,77,803.5857141587325,128.41527141891558,77,803.5857141587325,322,1,64
network,0,4096,64;64,1000,0.01,128,0,0.2509765625,0.2821,52.56285822652158,191,589.2775237526034,138.0812786519599,632,301.1179171022541,4482,2,64
network,0,4096,64;64;64,1000,0.01,128,0,0.23974609375,0.2874,23.270666055240316,83,1284.2748926923705,147.88841563766144,1065,221.55360525164107,8642,3,64
network,0,4096,128,1000,0.01,128,0,0.272216796875,0.268,67.81114900007918,95,765.6317652762326,67.81114900007918,95,765.6317652762326,642,1,128
network,0,4096,128;128,1000,0.01,128,0,0.254638671875,0.29500000000000004,22.518469456754936,157,791.381071292459,81.3019672113567,705,280.9626309671804,17154,2,128
network,0,4096,256,1000,0.01,128,0,0.26708984375,0.2672,30.15079138177415,113,726.6814983195871,30.15079138177415,113,726.6814983195871,1282,1,256
network,1,4096,2,1000,0.01,128,0,0.3212890625,0.3197,1170.2830854113888,3,2469.0172133867354,1170.2830854113888,3,2469.0172133867354,12,1,2
network,1,4096,2;2,1000,0.01,128,0,0.41064453125,0.4095,245.49999999999994,2,3265.167683289788,1117.269970732231,4,2878.9494611750315,18,2,2
network,1,4096,2;2;2,1000,0.01,128,0,0.322509765625,0.31810000000000005,729.3239830296421,4,3161.0868384149144,1861.5704913981772,8,2156.2615796790515,24,3,2
network,1,4096,2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1155.8062726945204,7,1846.4062391575696,36,5,2
